species	common_name	body_mass_g	body_mass_notes	max_lifespan_yr	max_lifespan_notes	gestation_days	gestation_notes	litter_size	litter_size_notes	age_maturity_days	age_maturity_notes	metabolic_rate_W	metabolic_rate_notes	brain_mass_g	brain_mass_notes	sleep_hr_day	sleep_notes
Mirza_zaza	Northern giant mouse lemur			17.4	AnAge build 14; genus Mirza (n=1) median used (no species-level data)	89.0	AnAge build 14; genus Mirza (n=1) median used (no species-level data)	1.8	AnAge build 14; genus Mirza (n=1) median used (no species-level data)	312.0	AnAge build 14; genus Mirza (n=1) median used (no species-level data)			6.0	González-Suárez et al. 2021 (genus Mirza median)		
Molossus_alvarezi	Alvarezs mastiff bat			5.6	AnAge build 14; genus Molossus (n=1) median used (no species-level data)	108.0	AnAge build 14; genus Molossus (n=1) median used (no species-level data)	1.0	AnAge build 14; genus Molossus (n=1) median used (no species-level data)	103.0	AnAge build 14; genus Molossus (n=1) median used (no species-level data)			0.386	González-Suárez et al. 2021 (genus Molossus median)		
Molossus_molossus	Pallass mastiff bat	13.7	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Molossus molossus	5.6	AnAge build 14 (genomics.senescence.info); exact match: Molossus molossus	108.0	AnAge build 14 (genomics.senescence.info); exact match: Molossus molossus	1.0	AnAge build 14 (genomics.senescence.info); exact match: Molossus molossus	103.0	AnAge build 14 (genomics.senescence.info); exact match: Molossus molossus	0.1124	PanTHERIA v1.0 (Jones et al. 2009); converted from mLO2/hr using 20.1 J/mLO2 (validated vs AnAge: mean ratio 1.007±0.085)	0.276	González-Suárez et al. 2021 [Pitnick_et_al_2006_ProcB; Tsubio_et_al_2018_NEE]		
Molossus_nigricans	Northern black mastiff bat			5.6	AnAge build 14; genus Molossus (n=1) median used (no species-level data)	108.0	AnAge build 14; genus Molossus (n=1) median used (no species-level data)	1.0	AnAge build 14; genus Molossus (n=1) median used (no species-level data)	103.0	AnAge build 14; genus Molossus (n=1) median used (no species-level data)			0.386	González-Suárez et al. 2021 (genus Molossus median)		
Monodon_monoceros	narwhal	938126.44	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Monodon monoceros	50.0	AnAge build 14 (genomics.senescence.info); exact match: Monodon monoceros	450.0	AnAge build 14 (genomics.senescence.info); exact match: Monodon monoceros	1.0	AnAge build 14 (genomics.senescence.info); exact match: Monodon monoceros	2191.0	AnAge build 14 (genomics.senescence.info); exact match: Monodon monoceros						
Mops_condylurus	Angolan free-tailed bat	26.59	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); No AnAge data											0.4245	González-Suárez et al. 2021 [Pitnick_et_al_2006_ProcB]		
Mormoops_blainvillei	Antillean ghost-faced bat	8.69	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); No AnAge data									0.0446	PanTHERIA v1.0 (Jones et al. 2009); converted from mLO2/hr using 20.1 J/mLO2 (validated vs AnAge: mean ratio 1.007±0.085)	0.403	González-Suárez et al. 2021 (genus Mormoops median)		
Moschus_berezovskii	Chinese forest musk deer	12477.41	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Moschus berezovskii			197.0	AnAge build 14 (genomics.senescence.info); exact match: Moschus berezovskii	1.0	AnAge build 14 (genomics.senescence.info); exact match: Moschus berezovskii	540.0	AnAge build 14 (genomics.senescence.info); exact match: Moschus berezovskii			36.4154	González-Suárez et al. 2021 (genus Moschus median)		
Moschus_chrysogaster	alpine musk deer	13697.9	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Moschus chrysogaster			188.0	AnAge build 14 (genomics.senescence.info); exact match: Moschus chrysogaster	1.0	AnAge build 14 (genomics.senescence.info); exact match: Moschus chrysogaster	639.0	AnAge build 14 (genomics.senescence.info); exact match: Moschus chrysogaster			36.4154	González-Suárez et al. 2021 (genus Moschus median)		
Moschus_moschiferus	Siberian musk deer	13315.57	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Moschus moschiferus			162.0	AnAge build 14 (genomics.senescence.info); exact match: Moschus moschiferus	1.5	AnAge build 14 (genomics.senescence.info); exact match: Moschus moschiferus	473.0	AnAge build 14 (genomics.senescence.info); exact match: Moschus moschiferus			36.4154	González-Suárez et al. 2021 [Tsubio_et_al_2018_NEE]		
Mungos_mungo	banded mongoose	1260.0	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Mungos mungo	17.4	AnAge build 14 (genomics.senescence.info); exact match: Mungos mungo	60.0	AnAge build 14 (genomics.senescence.info); exact match: Mungos mungo	2.5	AnAge build 14 (genomics.senescence.info); exact match: Mungos mungo	289.0	AnAge build 14 (genomics.senescence.info); exact match: Mungos mungo			10.6788	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]		
Muntiacus_crinifrons	black muntjac	18590.01	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Muntiacus crinifrons			196.0	AnAge build 14 (genomics.senescence.info); exact match: Muntiacus crinifrons	1.0	AnAge build 14 (genomics.senescence.info); exact match: Muntiacus crinifrons					108.9014	González-Suárez et al. 2021 (genus Muntiacus median)		
Muntiacus_gongshanensis	Gongshanensis muntjac	18590.01	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14; genus Muntiacus (n=4) median used (no species-level data)	21.0	AnAge build 14; genus Muntiacus (n=4) median used (no species-level data)	197.5	AnAge build 14; genus Muntiacus (n=4) median used (no species-level data)	1.08	AnAge build 14; genus Muntiacus (n=4) median used (no species-level data)	273.0	AnAge build 14; genus Muntiacus (n=4) median used (no species-level data)			108.9014	González-Suárez et al. 2021 (genus Muntiacus median)		
Muntiacus_muntjak	muntjak	17611.59	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Muntiacus muntjak	18.8	AnAge build 14 (genomics.senescence.info); exact match: Muntiacus muntjak	210.0	AnAge build 14 (genomics.senescence.info); exact match: Muntiacus muntjak	1.17	AnAge build 14 (genomics.senescence.info); exact match: Muntiacus muntjak	272.0	AnAge build 14 (genomics.senescence.info); exact match: Muntiacus muntjak			123.09	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]		
Muntiacus_reevesi	Reeves muntjac	13499.94	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Muntiacus reevesi	23.2	AnAge build 14 (genomics.senescence.info); exact match: Muntiacus reevesi	199.0	AnAge build 14 (genomics.senescence.info); exact match: Muntiacus reevesi	1.0	AnAge build 14 (genomics.senescence.info); exact match: Muntiacus reevesi	274.0	AnAge build 14 (genomics.senescence.info); exact match: Muntiacus reevesi			54.0792	González-Suárez et al. 2021 [Tsubio_et_al_2018_NEE]		
Muntiacus_vaginalis	Even-toed/			21.0	AnAge build 14; genus Muntiacus (n=4) median used (no species-level data)	197.5	AnAge build 14; genus Muntiacus (n=4) median used (no species-level data)	1.08	AnAge build 14; genus Muntiacus (n=4) median used (no species-level data)	273.0	AnAge build 14; genus Muntiacus (n=4) median used (no species-level data)			108.9014	González-Suárez et al. 2021 (genus Muntiacus median)		
Murina_aurata_feae	Little tube-nosed bat													0.258	González-Suárez et al. 2021 (genus Murina median)		
Mus_caroli	Ryukyu mouse	14.26	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Mus caroli			21.0	AnAge build 14 (genomics.senescence.info); exact match: Mus caroli			53.0	AnAge build 14 (genomics.senescence.info); exact match: Mus caroli			0.4499	González-Suárez et al. 2021 (genus Mus median)	12.5	Savage & West 2007 PNAS (msleep, genus Mus)
Mus_minutoides	Southern African pygmy mouse	8.0	AnAge build 14 (genomics.senescence.info); exact match: Mus minutoides	4.3	AnAge build 14 (genomics.senescence.info); exact match: Mus minutoides	20.0	AnAge build 14 (genomics.senescence.info); exact match: Mus minutoides	4.3	AnAge build 14 (genomics.senescence.info); exact match: Mus minutoides	60.0	AnAge build 14 (genomics.senescence.info); exact match: Mus minutoides	0.129	AnAge build 14 (genomics.senescence.info); exact match: Mus minutoides	0.4499	González-Suárez et al. 2021 (genus Mus median)	12.5	Savage & West 2007 PNAS (msleep, genus Mus)
Mus_musculus	House mouse	18.0	AnAge build 14 (genomics.senescence.info); exact match: Mus musculus	4.0	AnAge build 14 (genomics.senescence.info); exact match: Mus musculus	19.0	AnAge build 14 (genomics.senescence.info); exact match: Mus musculus	7.0	AnAge build 14 (genomics.senescence.info); exact match: Mus musculus	42.0	AnAge build 14 (genomics.senescence.info); exact match: Mus musculus	0.271	AnAge build 14 (genomics.senescence.info); exact match: Mus musculus	0.45	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Jeschke_&_Strayer_2006_GCB; Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]	12.5	Campbell & Tobler 1984 Neurosci Biobehav Rev 8:269-300
Mus_musculus_molossinus	Japanese wild mouse	18.0	AnAge build 14 (genomics.senescence.info); exact match: Mus musculus	4.0	AnAge build 14 (genomics.senescence.info); exact match: Mus musculus	19.0	AnAge build 14 (genomics.senescence.info); exact match: Mus musculus	7.0	AnAge build 14 (genomics.senescence.info); exact match: Mus musculus	42.0	AnAge build 14 (genomics.senescence.info); exact match: Mus musculus	0.271	AnAge build 14 (genomics.senescence.info); exact match: Mus musculus	0.45	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Jeschke_&_Strayer_2006_GCB; Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]	12.5	Campbell & Tobler 1984 Neurosci Biobehav Rev 8:269-300
Mus_pahari	shrew mouse	13.0	AnAge build 14; genus Mus (n=6) median used (no species-level data)	4.0	AnAge build 14; genus Mus (n=6) median used (no species-level data)	20.0	AnAge build 14; genus Mus (n=6) median used (no species-level data)	4.5	AnAge build 14; genus Mus (n=6) median used (no species-level data)	60.0	AnAge build 14; genus Mus (n=6) median used (no species-level data)	0.2	AnAge build 14; genus Mus (n=6) median used (no species-level data)	0.4499	González-Suárez et al. 2021 (genus Mus median)	12.5	Savage & West 2007 PNAS (msleep, genus Mus)
Mus_spicilegus	steppe mouse			3.5	AnAge build 14 (genomics.senescence.info); exact match: Mus spicilegus	20.0	AnAge build 14 (genomics.senescence.info); exact match: Mus spicilegus	6.7	AnAge build 14 (genomics.senescence.info); exact match: Mus spicilegus	65.0	AnAge build 14 (genomics.senescence.info); exact match: Mus spicilegus			0.4499	González-Suárez et al. 2021 (genus Mus median)	12.5	Savage & West 2007 PNAS (msleep, genus Mus)
Mus_spretus	Western wild mouse	13.0	AnAge build 14; genus Mus (n=6) median used (no species-level data)	4.0	AnAge build 14; genus Mus (n=6) median used (no species-level data)	20.0	AnAge build 14; genus Mus (n=6) median used (no species-level data)	4.5	AnAge build 14; genus Mus (n=6) median used (no species-level data)	60.0	AnAge build 14; genus Mus (n=6) median used (no species-level data)	0.2	AnAge build 14; genus Mus (n=6) median used (no species-level data)	0.4499	González-Suárez et al. 2021 (genus Mus median)	12.5	Savage & West 2007 PNAS (msleep, genus Mus)
Muscardinus_avellanarius	Hazel dormouse	23.5	AnAge build 14 (genomics.senescence.info); exact match: Muscardinus avellanarius	5.3	AnAge build 14 (genomics.senescence.info); exact match: Muscardinus avellanarius	23.0	AnAge build 14 (genomics.senescence.info); exact match: Muscardinus avellanarius	4.0	AnAge build 14 (genomics.senescence.info); exact match: Muscardinus avellanarius	335.0	AnAge build 14 (genomics.senescence.info); exact match: Muscardinus avellanarius	0.351	AnAge build 14 (genomics.senescence.info); exact match: Muscardinus avellanarius				
Mustela_erminea	ermine	125.5	AnAge build 14 (genomics.senescence.info); exact match: Mustela erminea	12.5	AnAge build 14 (genomics.senescence.info); exact match: Mustela erminea	43.0	AnAge build 14 (genomics.senescence.info); exact match: Mustela erminea	6.77	AnAge build 14 (genomics.senescence.info); exact match: Mustela erminea	95.0	AnAge build 14 (genomics.senescence.info); exact match: Mustela erminea	1.276	AnAge build 14 (genomics.senescence.info); exact match: Mustela erminea	4.03	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Isler_&_vanSchaik_2009_Bio_Lett; Lemaitre_et_al_2009_J_Evol_Biol; Stankowich_&_Romero_2017_ProcB; Tsubio_et_al_2018_NEE]	14.5	Zepelin et al. 2005 (genus Mustela; measured in M. putorius furo)
Mustela_eversmannii	Steppe polecat	175.25	AnAge build 14; genus Mustela (n=8) median used (no species-level data)	9.1	AnAge build 14; genus Mustela (n=8) median used (no species-level data)	39.0	AnAge build 14; genus Mustela (n=8) median used (no species-level data)	6.1	AnAge build 14; genus Mustela (n=8) median used (no species-level data)	312.0	AnAge build 14; genus Mustela (n=8) median used (no species-level data)	1.31	AnAge build 14; genus Mustela (n=8) median used (no species-level data)	4.3772	González-Suárez et al. 2021 (genus Mustela median)	14.5	Zepelin et al. 2005 (genus Mustela; measured in M. putorius furo)
Mustela_lutreola	European mink	566.44	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Mustela lutreola	8.4	AnAge build 14 (genomics.senescence.info); exact match: Mustela lutreola	54.0	AnAge build 14 (genomics.senescence.info); exact match: Mustela lutreola	4.0	AnAge build 14 (genomics.senescence.info); exact match: Mustela lutreola	323.0	AnAge build 14 (genomics.senescence.info); exact match: Mustela lutreola			8.653	González-Suárez et al. 2021 [Jeschke_&_Strayer_2006_GCB; Tsubio_et_al_2018_NEE]	14.5	Zepelin et al. 2005 (genus Mustela; measured in M. putorius furo)
Mustela_nigripes	black-footed ferret	907.1	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Mustela nigripes	9.4	AnAge build 14 (genomics.senescence.info); exact match: Mustela nigripes	43.0	AnAge build 14 (genomics.senescence.info); exact match: Mustela nigripes	3.0	AnAge build 14 (genomics.senescence.info); exact match: Mustela nigripes	365.0	AnAge build 14 (genomics.senescence.info); exact match: Mustela nigripes			8.5	González-Suárez et al. 2021 [Jeschke_&_Strayer_2006_GCB; Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]	14.5	Zepelin et al. 2005 (genus Mustela; measured in M. putorius furo)
Mustela_nivalis	Least weasel	78.45	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Mustela nivalis	9.1	AnAge build 14 (genomics.senescence.info); exact match: Mustela nivalis	36.0	AnAge build 14 (genomics.senescence.info); exact match: Mustela nivalis	5.0	AnAge build 14 (genomics.senescence.info); exact match: Mustela nivalis	120.0	AnAge build 14 (genomics.senescence.info); exact match: Mustela nivalis	1.1423	PanTHERIA v1.0 (Jones et al. 2009); converted from mLO2/hr using 20.1 J/mLO2 (validated vs AnAge: mean ratio 1.007±0.085)	1.83	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett; Lemaitre_et_al_2009_J_Evol_Biol; Stankowich_&_Romero_2017_ProcB; Tsubio_et_al_2018_NEE]	14.5	Zepelin et al. 2005 (genus Mustela; measured in M. putorius furo)
Mustela_putorius_furo	domestic ferret	975.55	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Mustela putorius	11.1	AnAge build 14 (genomics.senescence.info); exact match: Mustela putorius	42.0	AnAge build 14 (genomics.senescence.info); exact match: Mustela putorius	7.5	AnAge build 14 (genomics.senescence.info); exact match: Mustela putorius	312.0	AnAge build 14 (genomics.senescence.info); exact match: Mustela putorius	4.7336	PanTHERIA v1.0 (Jones et al. 2009); converted from mLO2/hr using 20.1 J/mLO2 (validated vs AnAge: mean ratio 1.007±0.085)	8.125	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Isler_&_vanSchaik_2009_Bio_Lett; Jeschke_&_Strayer_2006_GCB; Tsubio_et_al_2018_NEE]	14.5	Zepelin et al. 2005 (genus Mustela; measured in M. putorius furo)
Mustela_strigidorsa	Black-striped weasel	175.25	AnAge build 14; genus Mustela (n=8) median used (no species-level data)	9.1	AnAge build 14; genus Mustela (n=8) median used (no species-level data)	39.0	AnAge build 14; genus Mustela (n=8) median used (no species-level data)	6.1	AnAge build 14; genus Mustela (n=8) median used (no species-level data)	312.0	AnAge build 14; genus Mustela (n=8) median used (no species-level data)	1.31	AnAge build 14; genus Mustela (n=8) median used (no species-level data)	4.3772	González-Suárez et al. 2021 (genus Mustela median)	14.5	Zepelin et al. 2005 (genus Mustela; measured in M. putorius furo)
Myocastor_coypus	coypu	6361.55	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Myocastor coypus	19.0	AnAge build 14 (genomics.senescence.info); exact match: Myocastor coypus	131.0	AnAge build 14 (genomics.senescence.info); exact match: Myocastor coypus	6.0	AnAge build 14 (genomics.senescence.info); exact match: Myocastor coypus	152.0	AnAge build 14 (genomics.senescence.info); exact match: Myocastor coypus			20.7491	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Mace_et_al_1981_JZool; Tsubio_et_al_2018_NEE]		
Myodes_glareolus	Bank vole	21.5	AnAge build 14 (genomics.senescence.info); exact match: Myodes glareolus	4.9	AnAge build 14 (genomics.senescence.info); exact match: Myodes glareolus	20.0	AnAge build 14 (genomics.senescence.info); exact match: Myodes glareolus	4.3	AnAge build 14 (genomics.senescence.info); exact match: Myodes glareolus	47.0	AnAge build 14 (genomics.senescence.info); exact match: Myodes glareolus	0.312	AnAge build 14 (genomics.senescence.info); exact match: Myodes glareolus	0.52	González-Suárez et al. 2021 [Mace_et_al_1981_JZool]		
Myospalax_aspalax	False zokor																
Myospalax_psilurus	Transbaikal zokor	259.21	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); No AnAge data														
Myotis_brandtii	Brandts myotis bat	5.3	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Myotis brandtii	41.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis brandtii									0.1985	González-Suárez et al. 2021 (genus Myotis median)	19.9	Savage & West 2007 PNAS (msleep, genus Myotis)
Myotis_daubentonii	Daubentons bat	7.63	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Myotis daubentonii	28.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis daubentonii	54.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis daubentonii	1.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis daubentonii	730.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis daubentonii			0.23	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Pitnick_et_al_2006_ProcB]	19.9	Savage & West 2007 PNAS (msleep, genus Myotis)
Myotis_davidii	Davids myotis bat	5.8	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	20.75	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	55.0	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	1.0	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	365.0	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	0.047	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	0.1985	González-Suárez et al. 2021 (genus Myotis median)	19.9	Savage & West 2007 PNAS (msleep, genus Myotis)
Myotis_emarginatus	Geoffroys bat	7.56	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Myotis emarginatus	22.7	AnAge build 14 (genomics.senescence.info); exact match: Myotis emarginatus			1.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis emarginatus	456.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis emarginatus			0.1985	González-Suárez et al. 2021 (genus Myotis median)	19.9	Savage & West 2007 PNAS (msleep, genus Myotis)
Myotis_findleyi	Findleys myotis	5.8	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	20.75	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	55.0	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	1.0	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	365.0	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	0.047	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	0.1985	González-Suárez et al. 2021 (genus Myotis median)	19.9	Savage & West 2007 PNAS (msleep, genus Myotis)
Myotis_lucifugus	little brown bat	5.8	AnAge build 14 (genomics.senescence.info); exact match: Myotis lucifugus	34.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis lucifugus	55.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis lucifugus	1.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis lucifugus	210.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis lucifugus	0.051	AnAge build 14 (genomics.senescence.info); exact match: Myotis lucifugus	0.172	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett; Pitnick_et_al_2006_ProcB]	19.9	Zepelin et al. 2005 Principles & Practices of Sleep Medicine
Myotis_myotis	greater mouse-eared bat	25.59	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Myotis myotis	37.1	AnAge build 14 (genomics.senescence.info); exact match: Myotis myotis	65.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis myotis	1.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis myotis	502.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis myotis			0.4825	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Pitnick_et_al_2006_ProcB]	19.9	Savage & West 2007 PNAS (msleep, genus Myotis)
Myotis_mystacinus	Whiskered bat			24.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis mystacinus			1.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis mystacinus	365.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis mystacinus			0.1575	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett; Pitnick_et_al_2006_ProcB; Tsubio_et_al_2018_NEE]	19.9	Savage & West 2007 PNAS (msleep, genus Myotis)
Myotis_nattereri	Natterers bat	7.25	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Myotis nattereri	23.7	AnAge build 14 (genomics.senescence.info); exact match: Myotis nattereri			1.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis nattereri					0.22	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Pitnick_et_al_2006_ProcB]	19.9	Savage & West 2007 PNAS (msleep, genus Myotis)
Myotis_pilosus	Ricketts big-footed Myotis	5.8	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	20.75	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	55.0	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	1.0	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	365.0	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	0.047	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	0.1985	González-Suárez et al. 2021 (genus Myotis median)	19.9	Savage & West 2007 PNAS (msleep, genus Myotis)
Myotis_planiceps	flat-headed Myotis	5.8	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	20.75	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	55.0	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	1.0	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	365.0	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	0.047	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	0.1985	González-Suárez et al. 2021 (genus Myotis median)	19.9	Savage & West 2007 PNAS (msleep, genus Myotis)
Myotis_septentrionalis	Northern long-eared myotis	5.8	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	20.75	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	55.0	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	1.0	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	365.0	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	0.047	AnAge build 14; genus Myotis (n=23) median used (no species-level data)	0.1985	González-Suárez et al. 2021 (genus Myotis median)	19.9	Savage & West 2007 PNAS (msleep, genus Myotis)
Myotis_vivesi	fish-eating bat	25.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis vivesi	10.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis vivesi			1.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis vivesi			0.199	AnAge build 14 (genomics.senescence.info); exact match: Myotis vivesi	0.1985	González-Suárez et al. 2021 (genus Myotis median)	19.9	Savage & West 2007 PNAS (msleep, genus Myotis)
Myotis_yumanensis	Yuma myotis	5.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis yumanensis	14.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis yumanensis			1.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis yumanensis	365.0	AnAge build 14 (genomics.senescence.info); exact match: Myotis yumanensis	0.047	AnAge build 14 (genomics.senescence.info); exact match: Myotis yumanensis	0.13	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett]	19.9	Savage & West 2007 PNAS (msleep, genus Myotis)
Myrmecophaga_tridactyla	giant anteater	30600.0	AnAge build 14 (genomics.senescence.info); exact match: Myrmecophaga tridactyla	31.0	AnAge build 14 (genomics.senescence.info); exact match: Myrmecophaga tridactyla	184.0	AnAge build 14 (genomics.senescence.info); exact match: Myrmecophaga tridactyla	1.0	AnAge build 14 (genomics.senescence.info); exact match: Myrmecophaga tridactyla	1186.0	AnAge build 14 (genomics.senescence.info); exact match: Myrmecophaga tridactyla	14.543	AnAge build 14 (genomics.senescence.info); exact match: Myrmecophaga tridactyla	84.0	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol]		
Nanger_dama	Dama gazelle	71424.81	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Nanger dama	19.3	AnAge build 14 (genomics.senescence.info); exact match: Nanger dama	208.0	AnAge build 14 (genomics.senescence.info); exact match: Nanger dama	1.0	AnAge build 14 (genomics.senescence.info); exact match: Nanger dama	109.0	AnAge build 14 (genomics.senescence.info); exact match: Nanger dama						
Nanger_dama_ruficollis	Dama gazelle	71424.81	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Nanger dama	19.3	AnAge build 14 (genomics.senescence.info); exact match: Nanger dama	208.0	AnAge build 14 (genomics.senescence.info); exact match: Nanger dama	1.0	AnAge build 14 (genomics.senescence.info); exact match: Nanger dama	109.0	AnAge build 14 (genomics.senescence.info); exact match: Nanger dama						
Nanger_granti	Grants gazelle	55464.46	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Nanger granti	23.0	AnAge build 14 (genomics.senescence.info); exact match: Nanger granti	196.0	AnAge build 14 (genomics.senescence.info); exact match: Nanger granti	1.0	AnAge build 14 (genomics.senescence.info); exact match: Nanger granti	251.0	AnAge build 14 (genomics.senescence.info); exact match: Nanger granti						
