species	common_name	body_mass_g	body_mass_notes	max_lifespan_yr	max_lifespan_notes	gestation_days	gestation_notes	litter_size	litter_size_notes	age_maturity_days	age_maturity_notes	metabolic_rate_W	metabolic_rate_notes	brain_mass_g	brain_mass_notes	sleep_hr_day	sleep_notes
Semnopithecus_entellus	Hanuman langur	12679.29	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Semnopithecus entellus	29.0	AnAge build 14 (genomics.senescence.info); exact match: Semnopithecus entellus	192.0	AnAge build 14 (genomics.senescence.info); exact match: Semnopithecus entellus	1.0	AnAge build 14 (genomics.senescence.info); exact match: Semnopithecus entellus	1162.0	AnAge build 14 (genomics.senescence.info); exact match: Semnopithecus entellus			117.6566	González-Suárez et al. 2021 [DeCasien_et_al_2017_Nat_Ecol_Evol; Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]		
Sigmodon_hispidus	Hispid cotton rat	159.6	AnAge build 14 (genomics.senescence.info); exact match: Sigmodon hispidus	5.2	AnAge build 14 (genomics.senescence.info); exact match: Sigmodon hispidus	27.0	AnAge build 14 (genomics.senescence.info); exact match: Sigmodon hispidus	5.0	AnAge build 14 (genomics.senescence.info); exact match: Sigmodon hispidus	40.0	AnAge build 14 (genomics.senescence.info); exact match: Sigmodon hispidus	1.085	AnAge build 14 (genomics.senescence.info); exact match: Sigmodon hispidus	1.18	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Jeschke_&_Strayer_2006_GCB; Mace_et_al_1981_JZool; Stankowich_&_Romero_2017_ProcB; Tsubio_et_al_2018_NEE]	11.3	Savage & West 2007 PNAS (msleep, genus Sigmodon)
Smutsia_gigantea	Giant pangolin																
Solenodon_paradoxus	Hispaniolan solenodon	899.99	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Solenodon paradoxus	12.1	AnAge build 14 (genomics.senescence.info); exact match: Solenodon paradoxus	50.0	AnAge build 14 (genomics.senescence.info); exact match: Solenodon paradoxus	2.0	AnAge build 14 (genomics.senescence.info); exact match: Solenodon paradoxus	828.0	AnAge build 14 (genomics.senescence.info); exact match: Solenodon paradoxus			4.67	González-Suárez et al. 2021 [Tsubio_et_al_2018_NEE]		
Sorex_araneus	European shrew	8.4	AnAge build 14 (genomics.senescence.info); exact match: Sorex araneus	3.2	AnAge build 14 (genomics.senescence.info); exact match: Sorex araneus	21.0	AnAge build 14 (genomics.senescence.info); exact match: Sorex araneus	6.0	AnAge build 14 (genomics.senescence.info); exact match: Sorex araneus	198.0	AnAge build 14 (genomics.senescence.info); exact match: Sorex araneus	0.348	AnAge build 14 (genomics.senescence.info); exact match: Sorex araneus	0.2	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Isler_&_vanSchaik_2009_Bio_Lett; Lemaitre_et_al_2009_J_Evol_Biol]	11.9	Zepelin et al. 2005 Principles & Practices of Sleep Medicine
Sorex_cinereus	cinereus shrew	5.2	AnAge build 14 (genomics.senescence.info); exact match: Sorex cinereus			19.0	AnAge build 14 (genomics.senescence.info); exact match: Sorex cinereus	6.22	AnAge build 14 (genomics.senescence.info); exact match: Sorex cinereus	154.0	AnAge build 14 (genomics.senescence.info); exact match: Sorex cinereus	0.238	AnAge build 14 (genomics.senescence.info); exact match: Sorex cinereus	0.17	González-Suárez et al. 2021 [Mace_et_al_1981_JZool; Stankowich_&_Romero_2017_ProcB]	11.9	Zepelin et al. 2005 (genus Sorex; measured in S. araneus)
Sorex_fumeus	smoky shrew	7.83	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Sorex fumeus			21.0	AnAge build 14 (genomics.senescence.info); exact match: Sorex fumeus	5.0	AnAge build 14 (genomics.senescence.info); exact match: Sorex fumeus	304.0	AnAge build 14 (genomics.senescence.info); exact match: Sorex fumeus			0.21	González-Suárez et al. 2021 [Mace_et_al_1981_JZool]	11.9	Zepelin et al. 2005 (genus Sorex; measured in S. araneus)
Sorex_hoyi	Pygmy shrew	7.8	AnAge build 14; genus Sorex (n=13) median used (no species-level data)	3.1	AnAge build 14; genus Sorex (n=13) median used (no species-level data)	21.0	AnAge build 14; genus Sorex (n=13) median used (no species-level data)	5.68	AnAge build 14; genus Sorex (n=13) median used (no species-level data)	311.5	AnAge build 14; genus Sorex (n=13) median used (no species-level data)	0.267	AnAge build 14; genus Sorex (n=13) median used (no species-level data)	0.0935	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Mace_et_al_1981_JZool]	11.9	Zepelin et al. 2005 (genus Sorex; measured in S. araneus)
Sorex_maritimensis	Maritime shrew	7.8	AnAge build 14; genus Sorex (n=13) median used (no species-level data)	3.1	AnAge build 14; genus Sorex (n=13) median used (no species-level data)	21.0	AnAge build 14; genus Sorex (n=13) median used (no species-level data)	5.68	AnAge build 14; genus Sorex (n=13) median used (no species-level data)	311.5	AnAge build 14; genus Sorex (n=13) median used (no species-level data)	0.267	AnAge build 14; genus Sorex (n=13) median used (no species-level data)	0.17	González-Suárez et al. 2021 (genus Sorex median)	11.9	Zepelin et al. 2005 (genus Sorex; measured in S. araneus)
Sorex_ornatus	Ornate shrew	9.7	AnAge build 14 (genomics.senescence.info); exact match: Sorex ornatus			21.0	AnAge build 14 (genomics.senescence.info); exact match: Sorex ornatus	5.0	AnAge build 14 (genomics.senescence.info); exact match: Sorex ornatus	365.0	AnAge build 14 (genomics.senescence.info); exact match: Sorex ornatus	0.292	AnAge build 14 (genomics.senescence.info); exact match: Sorex ornatus	0.12	González-Suárez et al. 2021 [Mace_et_al_1981_JZool]	11.9	Zepelin et al. 2005 (genus Sorex; measured in S. araneus)
